geoid,race_white,race_black,race_indian,race_asian,race_pacific,race_some_other,race_two_or_more,race_hispanic,race_white_not_hispanic,race_source_abbreviation,link_to_detailed_sourcing
010599733002027,53,19,0,3,0,2,1,13,42,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010599733002027/
010610503003016,34,19,0,0,0,0,0,3,32,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010610503003016/
010650404001002,37,25,0,0,0,0,2,1,36,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010650404001002/
010650404005050,47,56,0,0,0,0,0,0,47,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010650404005050/
010670302001069,26,29,0,0,0,0,0,1,25,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010670302001069/
010690406001029,32,59,0,0,0,0,0,0,32,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010690406001029/
010690406001035,50,63,0,0,0,0,1,1,49,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010690406001035/
010690414002049,156,192,0,0,0,0,0,8,148,tract,http://www.prisonersofthecensus.org/data/2010blocks/010690414002049/
010719508004015,118,9,2,0,0,1,0,3,116,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010719508004015/
010719508004064,16,1,0,0,0,2,1,1,16,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010719508004064/
010730102002154,17,30,0,0,0,0,0,1,16,tract,http://www.prisonersofthecensus.org/data/2010blocks/010730102002154/
010730016001028,173,107,0,0,0,0,0,3,171,tract,http://www.prisonersofthecensus.org/data/2010blocks/010730016001028/
010730027001062,281,598,6,0,0,11,9,32,266,tract,http://www.prisonersofthecensus.org/data/2010blocks/010730027001062/
010730042003001,25,120,0,1,0,2,7,6,23,tract,http://www.prisonersofthecensus.org/data/2010blocks/010730042003001/
010730106024021,0,5,0,0,0,0,0,0,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730106024021/
010730107021072,5,13,0,0,0,0,0,1,4,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730107021072/
010730100012028,16,12,0,0,0,0,0,0,16,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730100012028/
010730108012047,1,0,0,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730108012047/
010730123053017,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730123053017/
010730121043012,4,3,0,0,0,0,0,0,4,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730121043012/
010730111092024,21,1,0,0,0,0,0,0,21,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730111092024/
010730114002018,4,0,0,0,0,0,0,0,4,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730114002018/
010730122002062,380,1150,1,1,1,0,1,0,380,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010730122002062/
010750301004040,44,8,0,0,0,0,0,0,44,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010750301004040/
010770101001084,104,40,0,0,0,0,0,10,95,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010770101001084/
010799794001001,90,17,0,0,0,0,1,0,90,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010799794001001/
010810411004000,148,183,0,0,0,0,0,20,128,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010810411004000/
010830206001053,174,56,0,0,0,3,1,13,165,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010830206001053/
010830208013001,1123,1216,1,1,0,0,1,9,1116,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010830208013001/
010857808002036,1,33,0,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010857808002036/
010872323001029,2,49,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010872323001029/
010890031001052,52,84,0,1,0,10,7,20,50,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010890031001052/
010890031002025,390,445,10,2,1,1,9,54,343,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010890031002025/
010919730006030,12,55,0,0,0,0,2,2,11,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010919730006030/
010939644001025,124,140,0,0,0,0,0,0,124,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010939644001025/
010939644003051,189,104,0,0,0,0,0,0,189,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010939644003051/
010950309032037,60,4,0,0,0,0,0,1,59,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010950309032037/
010950309032052,28,2,0,0,0,0,0,1,27,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010950309032052/
010950311004020,12,1,0,0,0,0,0,0,12,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010950311004020/
010950304015038,14,0,0,0,0,0,0,0,14,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010950304015038/
010950307021007,180,18,0,0,0,2,0,4,178,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010950307021007/
010950307021021,13,1,0,0,0,0,0,1,12,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010950307021021/
010970052001012,1,4,0,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010970052001012/
010970012001441,343,639,1,3,0,2,0,6,339,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010970012001441/
010970012001451,113,213,0,0,0,0,1,1,112,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010970012001451/
010970054001040,7,1,0,0,0,0,0,0,7,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010970054001040/
010990760003037,11,44,0,0,0,0,0,0,11,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010990760003037/
011010001001017,51,274,0,0,0,0,0,18,33,tract,http://www.prisonersofthecensus.org/data/2010blocks/011010001001017/
011010002001021,101,406,1,0,0,1,0,7,96,tract,http://www.prisonersofthecensus.org/data/2010blocks/011010002001021/
011010009001000,408,504,0,0,0,0,2,38,370,tract,http://www.prisonersofthecensus.org/data/2010blocks/011010009001000/
011010051011010,108,216,0,0,0,0,0,1,107,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011010051011010/
011010055012026,813,865,0,1,0,0,1,28,796,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011010055012026/
011030004001006,238,126,0,0,0,0,0,1,237,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011030004001006/
011030004004074,72,57,0,0,0,0,0,66,34,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011030004004074/
011030006001101,310,402,0,0,0,0,0,4,308,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011030006001101/
011056870001043,1,16,0,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011056870001043/
011070503002035,103,46,1,0,0,19,1,58,67,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011070503002035/
011091889003035,0,2,0,0,0,0,0,0,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011091889003035/
011110003002011,23,25,0,0,0,0,0,1,22,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011110003002011/
011130306002005,148,136,0,0,0,0,7,1,148,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011130306002005/
011150404012011,73,12,0,0,0,0,0,2,72,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011150404012011/
011150402032005,89,37,0,0,0,0,0,1,88,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011150402032005/
011150405023009,450,970,0,1,0,0,2,19,439,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011150405023009/
011170303192002,3,1,0,0,0,0,0,0,3,tract,http://www.prisonersofthecensus.org/data/2010blocks/011170303192002/
011170303142041,16,16,0,0,0,0,0,2,14,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011170303142041/
011170303152032,1,1,0,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011170303152032/
011170307011110,405,410,1,1,0,22,4,34,393,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011170307011110/
011210112001153,172,369,0,0,0,0,5,10,164,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011210112001153/
011210107001029,121,102,1,0,0,3,2,8,117,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011210107001029/
011210107001034,273,423,22,1,0,100,38,248,167,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011210107001034/
011210103012068,156,179,3,2,0,12,5,51,120,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011210103012068/
011239624003033,48,88,0,0,0,1,0,1,48,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011239624003033/
011250116001154,246,366,0,0,0,2,1,10,240,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011250116001154/
011270218002028,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011270218002028/
011270202002083,147,76,0,0,0,21,1,43,128,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011270202002083/
011270203004034,22,0,0,0,0,0,0,0,22,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011270203004034/
011270203004042,34,5,0,0,0,1,0,1,34,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/011270203004042/
011290440004054,44,23,0,0,0,0,0,0,44,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011290440004054/
011310352002000,11,26,0,0,0,0,1,1,10,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011310352002000/
011339656004039,54,0,0,1,0,0,1,0,54,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/011339656004039/
020160002001050,1,0,0,0,0,0,0,0,1,remaining,http://www.prisonersofthecensus.org/data/2010blocks/020160002001050/
020160002002009,0,0,0,0,0,1,0,1,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/020160002002009/
020200002042036,194,20,123,4,8,1,55,33,168,tract,http://www.prisonersofthecensus.org/data/2010blocks/020200002042036/
020200009011008,277,70,191,14,9,8,60,34,255,tract,http://www.prisonersofthecensus.org/data/2010blocks/020200009011008/
020200011002004,38,10,40,0,1,3,4,11,36,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/020200011002004/
020200011002036,54,4,26,0,0,1,5,5,52,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/020200011002036/
020200011002038,11,3,7,1,2,0,2,1,11,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/020200011002038/
020200014006009,14,3,12,1,0,0,2,3,12,tract,http://www.prisonersofthecensus.org/data/2010blocks/020200014006009/
020200016021014,40,9,39,1,4,2,33,12,37,tract,http://www.prisonersofthecensus.org/data/2010blocks/020200016021014/
020500002002000,2,0,77,0,0,0,1,0,2,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/020500002002000/
020500002002004,1,0,78,1,0,0,1,0,1,remaining,http://www.prisonersofthecensus.org/data/2010blocks/020500002002004/
020900007003027,0,1,0,0,0,0,0,0,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/020900007003027/
020900019005048,56,16,44,2,0,0,8,3,53,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/020900019005048/
020900002002027,129,40,127,0,1,0,2,8,124,tract,http://www.prisonersofthecensus.org/data/2010blocks/020900002002027/
021100004002001,95,7,84,3,1,1,18,16,87,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/021100004002001/
021100004003003,45,2,40,1,0,0,11,5,43,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/021100004003003/
021220002004035,213,9,124,9,3,4,36,24,201,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021220002004035/
021220013002000,221,59,201,1,12,4,51,43,204,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021220013002000/
021300003001007,30,0,34,0,0,1,4,3,28,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021300003001007/
021700012012010,106,5,18,0,0,1,13,7,102,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021700012012010/
021700006042050,57,11,45,1,2,2,8,9,53,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021700006042050/
021700002001003,222,31,144,5,6,2,72,35,209,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021700002001003/
021800002002006,3,1,84,0,0,0,3,2,2,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/021800002002006/
021800002003026,0,0,31,0,0,0,1,0,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/021800002003026/
021880002002010,0,0,8,0,0,0,0,0,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/021880002002010/
022200002004032,2,0,1,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/022200002004032/
022610003003003,1,0,1,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/022610003003003/
040019703002029,79,1,14,0,0,0,1,57,23,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040019703002029/
040019703001350,276,43,9,0,0,0,5,116,166,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040019703001350/
040030010001066,121,23,8,2,1,41,10,96,73,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040030010001066/
040030007004014,124,42,15,0,0,94,1,95,124,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040030007004014/
040030005004039,1132,329,136,10,3,524,29,811,898,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040030005004039/
040030005004036,64,20,10,2,0,30,5,66,35,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040030005004036/
040030002022033,3,0,0,0,0,1,0,1,3,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040030002022033/
040050008003064,266,12,228,3,0,0,1,87,191,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040050008003064/
040050008003073,14,1,10,0,0,0,3,9,7,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040050008003073/
040050010001017,3,0,0,1,0,0,0,1,2,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040050010001017/
040050010002028,0,0,1,0,0,0,0,0,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040050010002028/
040070012001003,200,27,13,0,0,27,0,109,115,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040070012001003/
040070012002006,91,0,11,0,0,9,3,36,69,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040070012002006/
040070003012043,10,0,2,0,0,0,0,3,7,tract,http://www.prisonersofthecensus.org/data/2010blocks/040070003012043/
040099616003009,666,162,125,33,20,203,77,683,274,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040099616003009/
040099616002013,767,105,34,4,1,0,0,425,343,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040099616002013/
040099613002012,124,2,4,0,0,0,1,95,29,tract,http://www.prisonersofthecensus.org/data/2010blocks/040099613002012/
040099617001100,66,7,3,0,1,0,0,45,22,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040099617001100/
040099617001107,785,110,28,7,1,4,1,513,278,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040099617001107/
040119601001335,32,1,0,0,0,0,0,10,22,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040119601001335/
040129402001105,170,1,1,0,0,20,2,143,49,tract,http://www.prisonersofthecensus.org/data/2010blocks/040129402001105/
040129403004011,0,0,38,0,0,0,0,4,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040129403004011/
